,cleaned_event,cleaned_venue,cleaned_place,cleaned_date
385,BREAKFAST,COMMERCIAL,CAR LIVIUS,1900-05-01
386,BREAKFAST,COMMERCIAL,CAR CARROLLTON,1900-05-01
387,BREAKFAST,COMMERCIAL,CAR BRUNSWICK,1900-05-01
388,BREAKFAST,COMMERCIAL,CAR HOLLAND,1900-05-01
389,SUPPER,COMMERCIAL,CAR WALTON,1900-05-01
390,SUPPER,COMMERCIAL,CAR CARROLLTON,1900-05-01
391,LUNCHEON,COMMERCIAL,CAR WALTON,1900-05-01
392,DINNER,COMMERCIAL,CAR BRUNSWICK,1900-05-01
393,DINNER,COMMERCIAL,"BATTLE CREEK, MI",1900-05-02
394,SPECIAL LUNCHEON,COMMERCIAL,,1900-05-02
395,CAFE BREAKFAST,COMMERCIAL,"66TH ST AND BROADWAY,NEW YORK,NY",1900-03-02
396,LUNCH,COMMERCIAL,"66TH ST AND BROADWAY,NEW YORK,NY",1900-03-02
397,BREAKFAST,COMMERCIAL,SS TRINIDAD,1900-03-02
398,DINNER,COMMERCIAL,SS TRINIDAD,1900-03-02
399,DINNER,COMMERCIAL,"DINING CAR SERVICE, TRAIN 19",1900-03-02
400,SIXTH ANNUAL BANQUET & BALL,SOC,"CAMPIDOGLIO HOTEL, NEW YORK, NY",1900-03-03
401,BREAKFAST,COMMERCIAL,S.S. COPTIC,1900-03-03
402,LUNCH,COMMERCIAL,S.S. COPTIC,1900-03-03
403,DINNER,COMMERCIAL,S.S. COPTIC,1900-03-03
404,LUNCHEON,COMMERCIAL,NY,1900-03-14
405,TABLE D'HOTE DINNER - FROM 12.30 TO 2.30 & 5.30 TO 8 P.M.,COMMERCIAL,NY,1900-03-14
406,DINNER,COMMERCIAL,NY,1900-03-14
407,DINNER-A LA CARTE,COMMERCIAL,NY,1900-03-14
408,DAILY MENU,COMMERCIAL,"3 EXCHANGE PLACE,JERSEY CITY, N.J.",1900-03-14
409,LUNCHEON,COMMERCIAL,"66TH ST & B'WAY, NY",1900-03-14
410,DINNER,COMMERCIAL,66TH ST. & BWAY NY,1900-03-14
411,LUNCH,COMMERCIAL,NY,1900-03-15
412,WEDDING RECEPTION,SOC,"HANSA-GESELLSCHAFTSHAUS, HAMBURG-GERMANY",1900-03-15
413,"BREAKFAST,LUNCH & DINNER",COMMERCIAL,NY,1900-03-15
414,BILL OF FARE - BREAKFAST & SUPPER,COMMERCIAL,394 CANAL ST. NY,1900-03-15
415,DINNER,COMMERCIAL,"CHICAGO ,ILL",1900-03-16
416,LUNCHEON,COMMERCIAL,"TAMPA, FLORIDA",1900-03-15
417,BREAKFAST,COMMERCIAL,"TORONTO,ONT,CANADA",1900-03-16
418,LUNCHEON,COMMERCIAL,"TORONTO,ONT,CANADA",1900-03-16
419,LUNCH,COMMERCIAL,SS LOUISIANA,1900-03-17
420,LUNCHEON,COMMERCIAL,"119-121 LA SALLE ST.,CHICAGO,IL",1900-03-17
421,LUNCHEON,COMMERCIAL,178 & 180 MADISON ST.,1900-03-17
422,FOURTH ANNUAL DINNER,COMMERCIAL,"HOTEL ST GEORGE,NYACK-ON-HUDSON,NY",1900-02-15
423,DAILY,COMMERCIAL,"CENTRAL PARK,NEW YORK,NY",1900-02-15
424,PERSONALLY CONDUCTED TOUR THROUGH MEXICO & CALIFORNIA,COMMERCIAL,"PULLMAN, EN ROUTE",1900-02-15
425,LUNCHEON,NAV,NEW YORK,1900-02-15
426,"BANQUET TENDERED TO THE STAFFS OF GALVESTON & HOUSTON, TEXAS",COMMERCIAL,"TREMONT HOTEL, GALVESTON, TX",1900-02-15
427,DINNER,COMMERCIAL,S.S.WESTERNLAND,1900-02-15
428,MENU,SOC,,1900-02-15
429,MENU,NAV,ST.LOUIS,1900-02-15
430,DINNER,NAV,NEW YORK,1900-02-15
431,,,,1900-04-09
432,ANNUAL BANQUET,SOC,"FRASER, THE, BAY CITY, MI",1900-04-10
433,18TH ANNUAL DINNER,EDUC,"MANHATTAN HOTEL, NEW YORK, NY",1900-04-10
434,COMPLIMENTARY SUPPER TO CLASS OF 1900,EDUC,"ST. LOUIS, MO",1900-04-10
435,DINNER,COMMERCIAL,DAMPFER KAISER WILHELM DER GROSSE,1900-04-10
436,DINNER,COMMERCIAL,"NEW YORK CITY, NY",1900-04-11
437,LUNCHEON,COMMERCIAL,"HOTEL SAVOY, NES YORK, NY",1900-05-03
438,DINNER,COM,SS CITY OF RIO DE JANEIRO,1900-05-03
439,FRESHMAN CLASS DINNER,EDUC,"HOTEL VENDOME, BOSTON, MA",1900-05-03
440,DINNER,RELIG,"HOTEL MANHATTAN, NEW YORK, NY",1900-05-03
441,DINNER,COMMERCIAL,"NEW YORK, NY",1900-05-04
442,CAFE/HALF PORTION BREAKFAST,COMMERCIAL,FIFTH AVENUE & FIFTY-NINTH STREET,1900-05-04
443,BREAKFAST,COM,SS CITY OF RIO DE JANEIRO,1900-05-04
444,DINNER,COM,SS CITY OF RIO DE JANEIRO,1900-05-04
445,DINNER,SOC,ROUND TABLE CLUB,1900-05-04
446,LUNCHEON,COMMERCIAL,CAFE CAR,1900-05-01
447,WINE LIST,COMMERCIAL,CAFE CAR,1900-05-01
448,SUPPER,COMMERCIAL,CAFE CAR,1900-05-01
449,LUNCHEON,COMMERCIAL,DINING CAR,1900-05-01
450,DINNER,COMMERCIAL,DINING CAR,1900-05-01
451,MENU,COMMERCIAL,R.M.S. ETRURIA,1900-03-03
452,BREAKFAST,COMMERCIAL,S.S. TRINIDAD,1900-03-03
453,MENU,COMMERCIAL,"TAORMINA, SICILY",1900-03-04
454,BREAKFAST,COMMERCIAL,BERMUDA,1900-03-04
455,BREAKFAST,COMMERCIAL,R.M.S. ETRURIA,1900-03-04
456,DINNER,COMMERCIAL,R.M.S. ETRURIA,1900-03-04
457,DINNER,GOVT,"PETROPOLIS, BRAZIL",1900-03-04
458,LUNCH,COMMERCIAL,"NEW YORK, NY",1900-03-04
459,LUNCH,COMMERCIAL,"HAMILTON, BERMUDA",1900-03-04
460,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD S.S. COPTIC,1900-03-05
461,DINNER,COMMERCIAL,"TORONTO,ONT,CANADA",1900-03-17
462,DINNER,COMMERCIAL,"TORONTO,ONT,CANADA",1900-03-18
463,DINNER TO ALBERT STETTHEIMER,OTHER(PERSONAL),,1900-03-15
464,DINNER,COMMERCIAL,"ORMOND, FL",1900-03-16
465,REGULAR DINNER,COMMERCIAL,"BLEECKER, THOMPSON AND SULLIVAN STREETS ENTRANCE ON BLEECKER STREET",
466,BILL OF FARE/BREAKFAST ONE SIDE: BILL OF FARE/LUNCH REVERSE SIDE,COMMERCIAL,"54 BEAVER STREET NEW YORK, NY",1900-01-01
467,EVENING DINNER,COMMERCIAL,"122-124 S. CLARK STREET, CHICAGO IL",1900-03-20
468,NINTH ANNUAL DINNER OF MASTERS' AND PAST MASTERS' ASSOCIATION,SOC,HOTEL SAVOY,1900-04-11
469,DINNER COMMEMORATING THE OPENING OF THE NEW HALL OF THE BOARD OF EDUCATION,EDUC,"DELMONICO'S, NEW YORK, NY",1900-02-22
470,BREAKFAST,COMMERCIAL,EN ROUTE,1900-02-22
471,LUNCHEON,COMMERCIAL,EN ROUTE,1900-02-23
472,DINNER,COMMERCIAL,EN ROUTE ABOARD THE R.M.S. ETRURIA,1900-02-23
473,LUNCHEON,COMMERCIAL,EN ROUTE IN DINING CAR,1900-02-24
474,WASHINGTON'S BIRTHDAY DINNER,COMMERCIAL,"ORMOND, FL",1900-02-22
475,WASHINGTON'S BIRTHDAY DINNER,SOC,"LOGAN HOUSE, ALTOONA, PA",1900-02-22
476,WASHINGTON'S BIRTHDAY DINNER,PATR,"WALDORF ASTORIA, THE, NY,NY",1900-02-22
477,DAILY MENU,COMMERCIAL,84 BEAVER AND 131 PEARL STREETS NY,1900-02-23
478,HAZEL'S PURE FOOD LUNCHEON,COMMERCIAL,6TH AVENUE AND 18TH STREET,1900-02-23
479,BREAKFAST,NAV,ST.LOUIS,1900-02-16
480,LUNCHEON,NAV,ST.LOUIS,1900-02-16
481,?DINNER?,NAV,ST.LOUIS,1900-02-16
482,DINNER,,"ST. LOUIS CLUB, ST. LOUIS, MO",1900-02-16
483,DINNER,NAV,NEW YORK,1900-02-16
484,BREAKFAST,COMMERCIAL,S.S. WESTERNLAND,1900-02-16
485,LUNCH,COMMERCIAL,S.S. WESTERNLAND,1900-02-16
486,DAILY MENU,COMMERCIAL,"BLEECKER, THOMPSON AND SULLIVAN STREETS",1900-02-05
487,BREAKFAST,COMMERCIAL,EN ROUTE,1900-02-23
488,LUNCH,COMMERCIAL,EN ROUTE,1900-02-23
489,DINNER,COMMERCIAL,EN ROUTE,1900-02-23
490,LUNCHEON,COMMERCIAL,66TH ST. & BWAY NY,1900-02-23
491,DINNER,COMMERCIAL,EN ROUTE,1900-02-24
492,DINNER,COMMERCIAL,"TAMPA,FLORIDA",1900-02-24
493,ANNUAL DINNER,RELIG,HOTEL MARLBOROUGH,1900-02-24
494,WINE LIST,COMMERCIAL,GRAND TRUNK RAILWAYLONDON,1900-02-24
495,LUNCHEON,COMMERCIAL,"66TH ST. AND BROADWAYNEW YORK,NY",1900-02-24
496,LUNCHEON,COMMERCIAL,"NASSAU,NPBAHAMAS",1900-02-24
497,BREAKFAST,COMMERCIAL,RMS ETRURIA,1900-02-25
498,LUNCH,COMMERCIAL,RMS OCEANIC,1900-02-25
499,LUNCH,GOVT,"PETROLOLIS,BRAZIL",1900-02-25
500,LUNCHEON,COMMERCIAL,RMS CAMPANIA,1900-02-25
501,LUNCH,COMMERCIAL,RMS OCEANIC,1900-02-25
502,BREAKFAST,COMMERCIAL,SS SOUTHWAREZ,1900-02-25
503,LUNCH,COMMERCIAL,SS SOUTHWAREZ,1900-02-25
504,DINNER,COMMERCIAL,SS SOUTHWAREZ,1900-02-25
505,DINNER,COMMERCIAL,SS KAISER WLHELM II,1900-02-25
506,LUNCHEON,COMMERCIAL,DINING CAR,1900-05-01
507,"LUNCHEON, A LA CARTE",COMMERCIAL,DINING CAR PALMER,1900-05-01
508,"SUPPER, A LA CARTE",COMMERCIAL,DINING CAR PALMER,1900-05-01
509,BUFFET LUNCH,SOC,"THE CLUB, NEW YORK, NY",1900-05-05
510,BREAKFAST,COMMERCIAL,"BATTLE CREEK, MI",1900-05-06
511,BREAKDAST,COMMERCIAL,EN ROUTE ABOARD DINING CARS,1900-05-08
512,DINNER,COMMERCIAL,EN ROUTE ABOARD DINING CARS,1900-05-08
513,TIFFIN,COMMERCIAL,EN ROUTE ABOARD CITY OF RIO DE JANEIRO,1900-05-08
514,DINNER,COMMERCIAL,EN ROUTE ABOARD POST-DAMPFER MAIL STEAMER GRAF WALDERSEE,1900-05-08
515,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD R.M.S. ETRURIA,1900-03-05
516,LUNCHEON,COMMERCIAL,EN ROUTE ABOARD R.M.S. ETRURIA,1900-03-05
517,DINNER,COMMERCIAL,EN ROUTE ABOARD R.M.S. ETRURIA,1900-03-05
518,,,,1900-03-05
519,FAREWELL BANQUET TO THE S.A. BUSHMEN'S CORPS ON THE EVE OF THEIR DEPARTURE FOR SOUTH AFRICA,MIL,ADELAIDE AUSTRALIA,1900-03-05
520,AVVIVERSARY OF THE BOSTON MASSACRE,PATR,"MINNEAPOLIS CLUB MINNEAPOLIS, MN",1900-03-05
521,DAILY MENU,COMMERCIAL,"149 BLEECKER STREET, NEW YORK",1900-02-06
522,TABLE D'HOTE DINNER,COMMERCIAL,"149 BLEECKER STREET, NEW YORK",1900-02-06
523,BREAKFAST,COMMERCIAL,ENROUTE ABOARD S.S. WESTERNLAND,1900-03-06
524,WEDDING DINNER,SOC,DELMONICO'S NY,1900-03-06
525,BREAKFAST,COMMERCIAL,EN ROUTE,1900-03-06
526,DINNER,COMMERCIAL,EN ROUTE,1900-03-07
527,DINNER,COMMERCIAL,"TAMPA, FLORIDA",1900-03-07
528,BREAKFAST,COMMERCIAL,EN ROUTE,1900-03-07
529,LUNCHEON,COMMERCIAL,EN ROUTE,1900-03-07
530,BILL OF FARE,COMMERCIAL,9 & 10 BATTERY PL. NY,1900-03-21
531,LUNCHEON,COMMERCIAL,"HOTEL MAJESTIC, NEW YORK, NY",1900-03-21
532,BREAKFAST,COMMERCIAL,"NEW YORK, NY",1900-03-21
533,CARTE DU JOUR/DINNER,COMMERCIAL,"MADISON AVE & 42ND ST., NEW YORK, NY",1900-03-21
534,LUNCH,COMMERCIAL,"NEW YORK, NY",1900-03-21
535,DINNER,COMMERCIAL,"CENTRAL PARK WEST, 72ND & 71ST STS., NEW YORK, NY",1900-02-16
536,BREAKFAST,COMMERCIAL,R.M.S.CAMPANIA,1900-02-16
537,,,,1900-02-17
538,LUNCH,COMMERCIAL,EN ROUTE ABOARD SCHNELLDAMPFER EXPRESS STEAMER COLUMBIA,1900-02-15
539,LUNCHEON,COMMERCIAL,EN ROUTE,1900-02-17
540,DINNER,CAM,"NEW YOK, NY",1900-02-17
541,LUNCHEON,COMMERCIAL,EN ROUTE ABOARD R.M.S. ETRURIA,1900-04-13
542,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD R.M.S. LUCANIA,1900-04-13
543,DINNER,COMMERCIAL,GIBRALTER,1900-04-14
544,DINNER,SOC,HOTEL MANHATTAN NY,1900-04-15
545,BREAKFAST,COMMERCIAL,"NEW YORK,NY",1900-05-09
546,DAILY MENU,COMMERCIAL,"137 E. MADISON ST. CHICAGO, IL",1900-05-09
547,DINNER,COMMERCIAL,"WASHINGTON, DC",1900-05-10
548,LUNCHEON,COMMERCIAL,"WASHINGTON,D.C.",1900-05-10
549,BREAKFAST,COMMERCIAL,"WASHINGTON,D.C.",1900-05-10
550,LUNCHEON,COMMERCIAL,"WASHINHTON,D.C.",1900-05-10
551,DINNER,COMMERCIAL,"WASHINGTON,D.C.",1900-05-12
552,CARTE DU JOUR,COMMERCIAL,"NEW YORK,NY",1900-03-07
553,BILL OF FARE,COMMERCIAL,"178 BROADWAY, NY",1900-03-08
554,DINNER,EDUC,"CHELSEA, THE",1900-03-09
555,DAILY MENUS,OTHER: HOSPITAL ,,1900-03-21
556,CARTE DU JOUR,COMMERCIAL,"NEW YORK, NY",1900-03-19
557,DINNER,COMMERCIAL,"ASHEVILLE, NC",1900-03-22
558,SPECIAL LENTEN DISHES,COMMERCIAL,,1900-03-22
559,MENU,COMMERCIAL,,1900-03-23
560,DINNER,COMMERCIAL,,1900-03-25
561,BILL OF FARE,COMMERCIAL,"NEW YORK, NY",1900-04-15
562,LUNCH,COMMERCIAL,"CHAMBERS STEET AND BROADWAY,NEW YORK,NY",1900-04-15
563,DINNER,COMMERCIAL,"156 SECOND AVE,NY",1900-04-15
564,,,,1900-04-15
565,DINNER,COMMERCIAL,"JACKSONVILLE, FL",1900-04-15
566,BREAKFAST,COMMERCIAL,"ATLANTIC CITY, NJ",1900-04-15
567,LUNCHEON,COMMERCIAL,"HOT SPRINGS, AR",1901-05-02
568,DINNER ON THE EVE OF HIS DEPARTURE,,MOUQUIN'S UP-TOWN,1900-06-09
569,DINNER,COMMERCIAL,"WILLOW GROVE PARK, PA",1900-06-10
570,LUNCH,COMMERCIAL,SS GAELIC,1900-06-10
571,DINNER,COMMERCIAL,"OLD POINT COMFORT, VA",1901-05-13
572,DINNER,,"WASHINGTON, DC",1901-05-13
573,DINNER,PATR,SHERRY'S NY,1900-07-12
574,SUPPER,COMMERCIAL,NEW YORK,1900-07-12
575,CARTE DU JOUR,COMMERCIAL,"ST. LOUIS, MO",1900-07-13
576,CLUB DINNER,COMMERCIAL,,1900-07-13
577,24TH ANNUAL BANQUET,PROF,"CHICAGO BEACH HOTEL, CHICAGO, IL",1900-07-13
578,189TH REGULAR DINNER,SOC,"CENTRAL RESTAURANT, 143 LIBERTY STREET, NEW YORK, NY",1900-01-01
579,BREAKFAST,COMMERCIAL,ON BOARD SS NORTH WEST,1900-07-15
580,BREAKFAST,COMMERCIAL,"OLD ORCHARD, ME",1900-07-16
581,DINNER,COMMERCIAL,CURAZAO,1900-07-16
582,DINNER,COMMERCIAL,"PARIS, FRANCE",1900-07-01
583,SPECIAL BREAKFAST,COMMERCIAL,"OLD ORCHARD, ME",1900-07-18
584,WINE LIST,COMMERCIAL,,1901-05-31
585,DINNER,COMMERCIAL,EN ROUTE,1901-05-31
586,DINNER,PROF,"CATARACT HOUSE, NIAGARA FALLS, NY",1901-06-01
587,DINNER,SOC,"CINCINNATI,OHIO",1901-06-01
588,LUNCH & DINNER,COMMERCIAL,BATTLEFIELD - WATERLOO,1901-06-02
589,DINNER,COMMERCIAL,EN ROUTE,1901-01-01
590,DINNER,COMMERCIAL,BACIOCHIE,1901-01-01
591,LUNCH,COMMERCIAL,"WHITE HOUSE HOTEL,STATEN ISLAND,NY",1901-06-18
592,41 JAHRES VERSAMMLUNG,PROF,"RATHUS, WIEN, AUSTRIA",1901-06-20
593,LUNCHEON,COMMERCIAL,"2ND CABIN, SS SONOMA",1901-06-20
594,LUNCHEON,COMMERCIAL,SS SONOMA,1900-06-13
595,ANNUAL BANQUET,PROF,"MECHANICS HALL, BOSTON, MA",1900-06-13
596,CLUB LUNCHEON,COMMERCIAL,,1900-06-13
597,LUNCHEON,COMMERCIAL,,1900-06-13
598,DINNER,COMMERCIAL,,1900-06-13
599,CAFE LUNCHEON,COMMERCIAL,,1900-06-13
600,CAFE DINNER,COMMERCIAL,,1900-06-13
601,LE PETIT SOUPER,COMMERCIAL,,1900-06-14
602,54TH ANNUAL REGATTA,SOC,STEAMER CEPHEUS,1900-06-14
603,,,,1900-06-14
604,DINNER,COMMERCIAL,"PROVIDENCE, RI",1900-06-15
605,DINNER,COMMERCIAL,"QUEBEC, CANADA",1900-09-27
606,DINNER,PROF,"GIBRALTAR, SPAIN",1900-09-28
607,DINNER,COMMERCIAL,EN ROUTE,1900-09-29
608,DINNER,COMMERCIAL,"CLEVELAND, OHIO",1900-09-30
609,DAILY MENU,COM,NY,1900-07-10
610,LUNCHEON,COMMERCIAL,"CHICAGO, IL",1900-07-10
611,DINNER,COMMERCIAL,"CHICAGO, IL",1900-07-21
612,DINNER,COMMERCIAL,"ATLANTIC CITY, NJ",1900-07-21
613,SUPPER,COMMERCIAL,"ATLANTIC CITY, NJ",1900-07-22
614,BREAKFAST,COMMERCIAL,"SARATOGA SPRINGS, NY",1900-07-22
615,DINNER,COMMERCIAL,,1900-07-22
616,DINNER,COMMERCIAL,,1900-07-22
617,DINNER,COMMERCIAL,"BUFFALO, NY",1900-07-22
618,DINER,COMMERCIAL,"TOKYO, JAPAN",1900-07-22
619,LUNCHEON,COMMERCIAL,"SARATOGA, NY",1900-07-22
620,DINNER,COMMERCIAL,"SARATOGA, NY",1900-07-01
621,SUPPER,COMMERCIAL,,1900-06-05
622,LUNCHEON,COMMERCIAL,"DETROIT,MI",1900-07-24
623,DINNER,COMMERCIAL,"SARATOGA SPRINGS, NY",1900-07-23
624,EVENING MEAL,,"NEW STATE HOUSE, WACO, TX",1900-07-24
625,MORNING MEAL,,"NEW STATE HOUSE, WACO, TX",1900-07-25
626,DINNER,COMMERCIAL,"SARATOGA, NY",1900-07-27
627,NOONDAY MEAL,COMMERCIAL,"WACO,TX",1900-10-15
628,BREAKFAST,COMMERCIAL,EN ROUTE,1900-10-16
629,COMPLIMENTARY DINNER TO HON. W.J. BRYAN,POL,"HOFFMAN HOUSE, THE, NEW YORK, NY",1900-10-16
630,COMPLIMENTARY DINNER TO DIRECTORS OF THE FIRST FALL FESTIVAL OF CINCINNATI,COMMERCIAL,"EXCHANGE HALL, CINCINNATI, OH",1901-08-03
631,BANQUET,SOC,"HOTEL CECIL, DAWSON CITY, CANADA",1901-08-03
632,LUNCHEON,COMMERCIAL,EN ROUTE ABOARD S.S. ZEALANDIA,1901-01-01
633,BREAKFAST,COMMERCIAL,PULLMAN DINING CAR SERVICE EN ROUTE,1901-01-01
634,BREAKFAST,GOVT,PULLMAN DINING CAR SERVICE,1901-08-03
635,DAILY MENU,COMMERCIAL,"BUFFALO, NY",1901-08-04
636,DINNER,COMMERCIAL,"ISLES OF SHOALS OFF PORTSMOUTH, NH",1901-08-05
637,BREAKFAST,COMMERCIAL,"CLINTON CO., NY",1901-06-21
638,LUNCHEON,COMMERCIAL,SS SIERRA,1900-09-05
639,DINNER,PROF,"374 FIFTH AVENUE, NY, NY",1900-09-05
640,DAILY MENU,COMMERCIAL,"DENVER, CO",1900-09-05
641,LUNCHEON,COMMERCIAL,"DENVER, CO",1900-09-05
642,DAILY MENU,PROF,"374 FIFTH AVENUE, NY,NY",1900-09-06
643,COMPLIMENTARY DINNER TO WARRANT OFFICERS OF H.M. BRIISH NORTH AMERICAN SQUADRON,MIL,"THE LOUISBURG, BAR HARBOR, ME",1900-09-06
644,DAILY MENU,COMMERCIAL,"BERLIN, GERMANY",1900-09-07
645,LUNCHEON,COMMERCIAL,"MANHATTAN BEACH, NY",1900-09-07
646,LUNCH,COMMERCIAL,EN ROUTE ABOARD SS. BARBAROSSA,1900-01-01
647,BREAKFAST,COMMERCIAL,EN ROUTE,1900-09-10
648,BREAKFAST,COMMERCIAL,EN ROUTE,1900-09-30
649,BREAKFAST,COMMERCIAL,EN ROUTE,1900-10-01
650,DAILY MENU,COMMERCIAL,CLEVELAND. OHIO,1900-10-01
651,BREAKFAST,COMMERCIAL,EN ROUTE,1900-10-01
652,LUNCHEON,COMMERCIAL,EN ROUTE,1900-10-01
653,DINNER,COMMERCIAL,EN ROUTE,1900-10-01
654,MENU,COMMERCIAL,"CLEVELAND,OHIO",1900-10-02
655,LUNCHEON,COMMERCIAL,EN ROUTE,1900-10-02
656,DINNER,COMMERCIAL,BLACK DIAMOND EXPRESS,1900-10-17
657,EVENING MEAL,,"NEW STATE HOUSE, WACO, TX",1900-10-17
658,MENU,COMMERCIAL,,1901-08-05
659,DINNER,COMMERCIAL,"CLINTON CO., NY",1901-01-01
660,DINNER,,"BROOKLYN,NY",1901-01-01
661,DAILY MENU,COMMERCIAL,"WATERLOO, BELGIUM",1901-08-06
662,DAILY MENU,COM,PAN MERICAN EXPOSITION,1901-08-07
663,BREAKFAST,COM,,1900-09-01
664,DINNER,COMMERCIAL,"NYACK, NY",1900-09-10
665,DINNER,COMMERCIAL,EN ROUTE,1900-09-11
666,LUNCH,COMMERCIAL,EN ROUTE,1900-09-12
667,DINNER,COMMERCIAL,"BARCELONE,{}",1900-09-12
668,LUNCH,COMMERCIAL,EN ROUTE,1900-09-12
669,DINNER,COMMERCIAL,EN ROUTE,1900-09-12
670,TIFFIN,COMMERCIAL,EN ROUTE,1900-09-13
671,BREAKFAST,COMMERCIAL,EN ROUTE,1900-09-13
672,LUNCHEON,COMMERCIAL,EN ROUTE,1900-09-13
673,TIFFIN,COMMERCIAL,SS KASUPA,1900-09-14
674,TIFFIN,COMMERCIAL,EN ROUTE ABOARD SS.KOHE MARU,1900-12-25
675,DINNER,COMMERCIAL,ROYAL BLUE LINE-WALDORF CAR,1900-12-25
676,CHRISTMAS DINNER,COMMERCIAL,S.S.CHINA,1900-12-25
677,CHRISTMAS DINNER,COMMERCIAL,"DEPEW,NY",1900-12-25
678,DINNER,COMMERCIAL,"PASSENGER STATION,CHICAGO,IL",1900-12-25
679,CHRISTMAS DINNER,COMMERCIAL,"WASHINGTON,DC",1900-12-25
680,CHRISTMAS DINNER,COMMERCIAL,"CHARLOTTE,NC",1900-12-25
681,CHRISTMAS DINNER,COMMERCIAL,"DETROIT,MI",1900-12-25
682,CHRISTMAS DINNER,COMMERCIAL,P.L.RAMESES 111,1901-05-03
683,LUNCH,COMMERCIAL,DAMPFER H.H. MEIER,1901-05-04
684,TOUR OF THE PRESIDENT TO THE PACIFIC COAST-BREAKFAST,COMMERCIAL,EN ROUTE,1901-05-04
685,TOUR OF THE PRESIDENT TO THE PACIFIC COAST-DINNER,COMMERCIAL,EN ROUTE,1901-05-04
686,DINNER,COMMERCIAL,DAMPFER BARBAROSSA,1901-05-14
687,LUNCH -PRESIDENTIAL TOUR TO THE PACIFIC COAST,GOVT,EN ROUTE ABOARD RAILROAD,1901-05-14
688,COMPLIMENTARY DINNER TO THE PRESS OF TOLEDO,COMMERCIAL,"TOLEDO, OH",1901-05-01
689,LUNCH ON TOUR OF THE PRESIDENT TO THE PACIFIC COAST,COMMERCIAL,ON ROUTE,1901-05-15
690,DINNER ON LAST DAY,GOVT,SS ST PAUL,1900-12-25
691,CHRISTMAS DINNER,COMMERCIAL,"CLEVELAND, OH",1900-12-25
692,CHRISTMAS DINNER,COMMERCIAL,EN ROUTE ABOARD COPTIC,1900-12-25
693,CHRISTMAS DINNER,COMMERCIAL,"PITTSBURGH, PA",1900-12-25
694,CHRISTMAS DINNER,COMMERCIAL,"BROADWAY AND 42ND STREET, NY",1900-12-25
695,CHRISTMAN DINNER,COMMERCIAL,"NEW YORK, NY",1900-12-25
696,CHRISTMAS DINNER,COMMERCIAL,"NEW YORK, NY",1900-12-25
697,CHRISTMAS DINNER,MIL,"U.S.MILITARY HOSPITAL, SORSOGON, LUZON P.I.",1900-06-19
698,BREAKFAST,MIL,EN ROUTE ABOARD ABOVE,1900-06-19
699,LUNCH,MIL,EN ROUTE ABOARD ABOVE,1901-05-15
700,DAILY,COMMERCIAL,"WASHINGTON,DC",1901-05-18
701,DINNER,GOVT,SS ST PAUL,1901-05-19
702,DINNER ON,GOVT,SS ST PAUL,1901-05-19
703,BREAKFAST,COMMERCIAL,"LOS ANGELES,CA",1901-05-19
704,LUNCH,COMMERCIAL,"LOS ANGELES,CA",1901-05-20
705,LUNCHEON,COMMERCIAL,EN ROUTE,1901-05-20
706,LUNCHEON - SECOND CABIN,COMMERCIAL,EN ROUTE,1901-05-20
707,DINNER - SECOND CABIN,COMMERCIAL,EN ROUTE,1900-07-27
708,BREAKFAST,COMMERCIAL,"BELMAR, NJ",1900-07-28
709,DINNER FOR H.E. SIR GEORGE WHITE,GOVT,"MEDITERRANEAN CLUB GIBRALTER, SPAIN",1900-07-29
710,SUPPER,COMMERCIAL,VIRGINIA BEACH VA,1900-07-29
711,DINNER,COMMERCIAL,VIRGINIA BEACH VA,1900-07-30
712,DINNER,COMMERCIAL,"CORONADO BEACH, CA",1900-08-01
713,DINNER,COMMERCIAL,"CORONADO BEACH, CA",1900-08-01
714,BREAKFAST,COMMERCIAL,"BELMAR,NJ",1900-08-01
715,DINNER,COMMERCIAL,"BELMAR,NJ",1900-08-01
716,LUNCHEON,COMMERCIAL,"SARATOGA SPRINGS,NY",1900-08-02
717,DINNER,COMMERCIAL,"SARATOGA SPRINGS, NY",1900-08-02
718,DINNER,COMMERCIAL,ENROUTE - SS HGAIRGA,1900-08-02
719,LUNCHEON,COMMERCIAL,,1900-08-02
720,DINNER,COMMERCIAL,,1901-06-07
721,BREAKFAST - SECOND CABIN,COMMERCIAL,EN ROUTE ABOARD SS VENTURA,1901-06-07
722,DINNER - SECOND CABIN,COMMERCIAL,EN ROUTE ABOARD SS VENTURA,1901-06-07
723,BREAKFAST ,COMMERCIAL,EN ROUTE ABOARD SS SIERRA,1901-06-07
724,LUNCH,COMMERCIAL,EN ROUTE ABOARD SS SIERRA,1901-06-07
725,DINNER,COMMERCIAL,EN ROUTE ABOARD SS SIERRA,1901-06-07
726,LUNCHEON,COMMERCIAL,"SALTERS' HALL, ST. SWITHIN'S LANE, E.C. LONDON, ENGLAND",1901-06-08
727,BANQUET IN HONOR OF THE NATIONAL ASSOCIATION OF RAILROAD COMMISSIONERS OF THE UNITED STATES,COMMERCIAL,"PALACE HOTEL, SAN FRANCISCO, CA",1900-05-16
728,SUPPER,COMMERCIAL,"PORTLAND, ME",1900-05-01
